X,Y
-4.995910794,1.529440263
-4.383343688,1.104141636
-3.722884275,0.718873645
-3.062424862,0.333605654
-2.363927995,0.083519692
-1.599311367,0.083519692
-0.885401136,0.276592583
-0.224941725,0.661860573
0.435517689,1.047128564
1.095756627,1.432772067
1.145821489,2.180900716
0.533254267,2.606204902
-0.127205146,2.991472893
-0.787664559,3.376740884
-1.486161445,3.626826778
-2.250778072,3.626826778
-2.964688285,3.433753819
-3.625147696,3.048485829
-4.28560711,2.663217838
-4.945846041,2.277574326
-4.952495972,2.272526116
-4.960202898,2.265651094
-4.967149284,2.258280285
-4.977944549,2.243654564
-4.985595827,2.229307234
-4.990798275,2.215408601
-4.994857428,2.19677404
-4.995878286,2.183805933
-4.995351113,1.517826909
-4.992291431,1.500296502
-4.987631775,1.485870335
-4.981338365,1.47247881
-4.974800041,1.46192357
-4.967149284,1.452066185
-4.955089862,1.440000817
-4.948382249,1.434610604
-4.995910794,2.161857103
-4.995910794,1.886521384
-2.673779579,0.106895905
-2.654353222,0.095868093
-2.636345829,0.088692377
-2.622539616,0.085359289
-2.610033092,0.083808737
-2.589281678,0.083519692
-1.281828847,0.083519692
-1.251917673,0.083519692
-1.238134441,0.083959202
-1.219555303,0.087074475
-1.202440512,0.0927923
-1.193603377,0.096955433
-1.176309726,0.106895905
1.112272988,1.446853347
1.124710736,1.46192357
1.13124906,1.47247881
1.139655092,1.491647094
1.143802431,1.507565977
1.145821489,1.529440263
1.145821489,1.54500281
1.145821489,2.124950405
1.144768123,2.19677404
1.14242239,2.209166535
1.135506521,2.229307234
1.13124906,2.237867659
1.122382609,2.251656266
1.112272988,2.263493122
1.102406667,2.272526116
-1.183719217,3.607772767
-1.193603377,3.613391036
-1.210868407,3.620733674
-1.219555303,3.623271994
-1.238134441,3.626387268
-1.228866427,3.625214656
-2.596435365,3.626826778
-2.610033092,3.626537733
-2.622539616,3.624987181
-2.629314083,3.623571366
-2.640786171,3.620198208
-2.648117833,3.617355283
-2.656485928,3.613391036
-2.666370089,3.607772767
