X,Y
-2.493927655,-0.133195507
-1.850061282,-0.141803203
-1.342161526,0.269103079
-0.834793933,0.680740937
-0.327426341,1.092378795
0.179651407,1.504317372
0.189673433,2.141720207
-0.315915159,2.555242134
-0.823282518,2.966879802
-1.330648902,3.37851668
-1.838015713,3.790153904
-2.481884283,3.798763401
-2.989784039,3.387857121
-3.497151632,2.976219262
-4.004519225,2.564581404
-4.511596973,2.152642829
-4.52161902,1.515239995
-4.016030431,1.101718066
-3.508662841,0.69008021
-3.001295248,0.278442351
-2.418032418,3.816669071
-2.435624818,3.815544044
-2.453515784,3.811623094
-2.468477147,3.805972527
-2.493927655,3.790155697
-4.52161902,2.141720195
-4.530064051,2.129837698
-4.53622249,2.11861577
-4.540900015,2.107439891
-4.544422,2.095787232
-4.546932406,2.082280939
-4.547704425,2.073596867
-4.547862553,2.059169066
-4.547862553,1.606292834
-4.547862553,1.594708186
-4.547252141,1.577480526
-4.545442276,1.565685146
-4.542279441,1.553588807
-4.538052906,1.542345388
-4.53141196,1.529345246
-4.511596973,1.504317361
-2.519532141,-0.112422056
-2.481884283,-0.141803212
-2.468477147,-0.149012337
-2.453515784,-0.154662905
-2.435624818,-0.158583854
-2.418032418,-0.159708882
-1.936448628,-0.159708882
-1.919715735,-0.159708882
-1.906802585,-0.159567305
-1.892459257,-0.157981753
-1.877991348,-0.154529532
-1.865082763,-0.149735931
-1.838015713,-0.133193714
0.170998611,1.496761303
0.189673433,1.515239983
0.195938218,1.523744445
0.199466383,1.529345246
0.206107328,1.542345388
0.210333864,1.553588807
0.213496698,1.565685146
0.215306564,1.577480526
0.215916975,2.059169066
0.214986828,2.082280939
0.208954437,2.107439891
0.198118473,2.129837698
0.212476423,2.095787232
0.204276912,2.11861577
0.159730989,2.169340542
-1.829833825,3.783515769
-1.845117506,3.795503753
-1.850061282,3.798763393
-1.859021106,3.803825439
-1.865082763,3.80669612
-1.877991348,3.811489721
-1.871345034,3.809235779
-1.885013828,3.813406214
-1.892459257,3.814941942
-1.901326183,3.816131333
-1.906802585,3.816527494
-1.915454553,3.816669071
-2.147759759,3.816669071
-2.191228169,-0.159708882
-4.547862553,1.823956272
0.215916975,1.823956272
