X,Y
-4.464685434,2.414468648
-4.47329313,1.770602275
-4.062386848,1.26270252
-3.65074899,0.755334927
-3.239111131,0.247967334
-2.827172555,-0.259110414
-2.18976972,-0.26913244
-1.776247793,0.236456152
-1.364610124,0.743823511
-0.952973247,1.251189896
-0.541336023,1.758556706
-0.532726526,2.402425276
-0.943632806,2.910325033
-1.355270664,3.417692625
-1.766908523,3.925060218
-2.178847098,4.432137967
-2.816249932,4.442160014
-3.229771861,3.936571424
-3.641409717,3.429203834
-4.053047575,2.921836241
-4.47329313,2.402425289
-4.478660995,2.392860146
-4.482984197,2.383180632
-4.486819558,2.371766325
-4.4886712,2.364206689
-4.490923216,2.347966479
-4.491198808,2.337241009
-4.491198808,2.310627228
-4.491198808,2.062762987
-4.491198808,1.833366392
-4.490364891,1.819114406
-4.487919279,1.805485461
-4.484608485,1.794223236
-4.479635106,1.78215562
-4.223231569,1.460952989
-2.846384244,-0.236091387
-2.816249932,-0.26913245
-2.803957964,-0.277830838
-2.786160444,-0.286816552
-2.76892617,-0.292269752
-2.754631426,-0.29470042
-2.728092474,-0.295375982
-2.261797692,-0.295355397
-2.245451489,-0.29390999
-2.227718687,-0.289664575
-2.210208876,-0.282414451
-2.178847098,-0.259110403
-0.532726526,1.770602288
-0.526384558,1.78215562
-0.521411179,1.794223236
-0.518100385,1.805485461
-0.515654773,1.819114406
-0.514820856,1.833366392
-0.514820856,1.844049769
-0.514820856,2.337241009
-0.515096448,2.347966479
-0.519200106,2.371766325
-0.527358669,2.392860146
-0.54133423,2.414468648
-0.516303343,2.358557349
-0.523035467,2.383180632
-2.184943458,4.438041021
-2.18976972,4.442160004
-2.201569461,4.450553551
-2.210208876,4.455442015
-2.221141564,4.460352154
-2.227718687,4.462692139
-2.236545335,4.465167675
-2.245451489,4.466937554
-2.256891465,4.468189272
-2.268276154,4.468403546
-2.745997517,4.46833645
-2.759030739,4.467171702
-2.76892617,4.465297316
-2.779224561,4.462389791
-2.786160444,4.459844116
-2.793039891,4.456814137
-2.803957964,4.450858402
-2.811675336,4.445675364
-2.821076206,4.438041021
