X,Y
-4.733131396,2.354861786
-4.225763859,2.766499724
-3.718395997,3.1781378
-3.211028218,3.589775809
-2.702216836,3.999347753
-2.059261982,3.979736299
-1.551893868,3.568098018
-1.044525555,3.156459575
-0.537157697,2.744821502
-0.033336029,2.329597656
-0.056511314,1.693596583
-0.563878415,1.281959003
-1.071245592,0.870321482
-1.578613239,0.458683579
-2.087424656,0.049111687
-2.730379475,0.068723467
-3.237747589,0.480361748
-3.745115902,0.892000191
-4.25248376,1.303638264
-4.756305364,1.718862169
-2.656004631,4.012161252
-2.674557738,4.009442363
-2.691796548,4.00408193
-4.745591725,2.3431274
-4.756305364,2.329597408
-4.766172293,2.312004305
-4.773748186,2.289522929
-4.776591178,2.268541871
-4.776710376,2.250657933
-4.775846416,1.770962993
-4.773476605,1.757774078
-4.76853912,1.742054997
-4.763576943,1.731094138
-4.749504827,1.709814681
-2.720188093,0.060507501
-2.709256598,0.053040796
-2.702216836,0.049111824
-2.691796548,0.044377647
-2.674557738,0.039017214
-2.656004631,0.036298326
-2.12868531,0.036730618
-2.111930172,0.039784585
-2.10298884,0.042472157
-2.093970048,0.045996438
-2.080384626,0.053040796
-0.045564267,1.703713527
-0.033336029,1.718861921
-0.026064282,1.731094138
-0.021102105,1.742054997
-0.016164619,1.757774078
-0.013302939,1.775854805
-0.013302939,2.272604772
-0.014620504,2.283143589
-0.017319152,2.295132822
-0.021102105,2.30640458
-0.026064282,2.317365439
-2.074050127,3.991312405
-2.080384626,3.995418781
-2.099762884,4.00482431
-2.111930172,4.008674992
-2.12868531,4.011728959
