X,Y
1.796321038,-0.230101676
2.080843348,-0.20603411
2.357325911,-0.134471986
2.617797979,-0.017477861
2.854897665,0.14162534
3.061922438,0.338355079
3.232909708,0.567050131
3.363028059,0.82123174
3.448574847,1.093669187
3.4871122,1.376556244
3.489311025,1.662425705
3.489311025,1.948381639
3.489311025,2.23433414
3.485580662,2.52001655
3.442655816,2.802395698
3.352895175,3.073479716
3.218854119,3.325611512
3.04433657,3.551635974
2.834290868,3.745128973
2.594755411,3.900536726
2.332481622,4.013486144
2.054908633,4.080753012
1.770042216,4.100606986
1.484175908,4.100606986
1.198285986,4.100606986
0.912388565,4.100606986
0.626492141,4.100606986
0.34059571,4.100606986
0.054699274,4.100606986
-0.231197167,4.100606986
-0.517093612,4.100606986
-0.802990062,4.100606986
-1.088886515,4.100606986
-1.374782971,4.100606986
-1.660679429,4.100606986
-1.946575889,4.100606986
-2.23247235,4.100606986
-2.518368812,4.100606986
-2.804265275,4.100606986
-3.090161737,4.100606986
-3.376058198,4.100606986
-3.661954658,4.100606986
-3.947851117,4.100606986
-4.233747572,4.100606986
-4.519644025,4.100606986
-4.805540475,4.100606986
-5.09143692,4.100606986
-5.377333361,4.100606986
-5.663229797,4.100606986
-5.949126228,4.100606986
-6.235022652,4.100606986
-6.519544706,4.076539322
-6.796026804,4.004977258
-7.056498623,3.887983249
-7.293598342,3.728880058
-7.500623173,3.532150288
-7.671610477,3.303455205
-7.801728834,3.049273597
-7.887275627,2.776836151
-7.925812984,2.493949095
-7.92801181,2.208079634
-7.92801181,1.9221237
-7.92801181,1.636171199
-7.92428145,1.350488788
-7.881356608,1.068109639
-7.791595971,0.79702562
-7.65755492,0.544893822
-7.483037375,0.318869357
-7.272991676,0.125376355
-7.033456222,-0.030031403
-6.771182434,-0.142980825
-6.493609447,-0.210247698
-6.20874303,-0.230101676
-5.922876722,-0.230101676
-5.6369868,-0.230101676
-5.351089379,-0.230101676
-5.065192959,-0.230101676
-4.779296539,-0.230101676
-4.49340012,-0.230101676
-4.207503702,-0.230101676
-3.921607285,-0.230101676
-3.635710868,-0.230101676
-3.349814452,-0.230101676
-3.063918037,-0.230101676
-2.778021622,-0.230101676
-2.492125207,-0.230101676
-2.206228792,-0.230101676
-1.920332378,-0.230101676
-1.634435964,-0.230101676
-1.348539549,-0.230101676
-1.062643134,-0.230101676
-0.77674672,-0.230101676
-0.490850305,-0.230101676
-0.204953889,-0.230101676
0.080942527,-0.230101676
0.366838944,-0.230101676
0.652735361,-0.230101676
0.938631779,-0.230101676
1.224528197,-0.230101676
1.510424617,-0.230101676
