X,Y
-3.968079265,4.202339902
-3.626889728,5.455691624
-3.285699693,6.709042771
-2.61165321,7.584308604
-1.328905736,7.524686445
-0.965056665,6.281861104
-0.62386651,5.028509513
-0.392183768,3.760202141
-0.392183768,2.461241017
-0.392183768,1.162279535
-0.398967726,-0.136093396
-0.740156822,-1.389443411
-1.081346857,-2.642794558
-1.755398536,-3.5180536
-3.038143873,-3.458426395
-3.401989885,-2.215599309
-3.74318004,-0.962247717
-3.974860934,0.306056687
-3.974860934,1.605017917
-3.974860934,2.903979399
-3.091291764,7.423194349
-3.083405645,7.450745514
-3.074095887,7.473419135
-3.066570412,7.487448299
-3.051631478,7.509282127
-3.038143873,7.524681399
-3.012874436,7.54659527
-2.984601216,7.563745394
-2.953791573,7.575940269
-2.923547959,7.582511041
-2.894535446,7.584308604
-2.857100881,7.584308604
-1.470903833,7.584308604
-1.444707936,7.582672028
-1.415864963,7.576707499
-1.388746484,7.566739184
-1.36262477,7.552419854
-1.341369354,7.536435723
-1.315413224,7.509282127
-1.30047429,7.487448299
-1.292948814,7.473419135
-1.283639057,7.450745514
-0.417085302,4.268905075
-0.410346821,4.244151472
-0.405732418,4.227200605
-0.401813421,4.212804289
-0.396428933,4.191776162
-0.394061069,4.178236731
-0.392671508,4.164963993
-0.392183768,4.148981223
-0.392183768,4.131969315
-0.392183768,0.020728851
-0.392183768,-0.035717263
-0.392183768,-0.080874153
-0.394501772,-0.114980529
-0.40932243,-0.1741334
-0.423418372,-0.225914409
-1.264179392,-3.314424278
-1.277239969,-3.362401909
-1.291119086,-3.403287798
-1.316080724,-3.443869607
-1.341369354,-3.470180719
-1.388746484,-3.50048418
-1.36262477,-3.48616485
-1.415864963,-3.510452495
-1.444707936,-3.516417024
-1.470903833,-3.5180536
-2.894535446,-3.5180536
-2.857100881,-3.5180536
-2.923547959,-3.516256037
-2.953791573,-3.509685265
-2.984601216,-3.49749039
-3.012874436,-3.480340266
-3.050963978,-3.443869607
-3.075925616,-3.403287798
-3.112366779,-3.279520924
-3.962305542,-0.157296893
-3.968076975,-0.136093396
-3.97254293,-0.114980529
-3.974686808,-0.093138178
-3.974860934,-0.064970418
-3.974860934,-0.035717263
-3.953807821,-0.188513012
-3.974860934,4.086289173
-3.974373194,4.164963993
-3.974860934,4.131969315
-3.95669788,4.244151472
-3.9499594,4.268905075
-3.939089569,4.308835064
