X,Y
-5.262524767,0.972433698
-4.6581278,0.286328758
-4.00194401,-0.369855032
-3.147880673,-0.568765133
-2.219896558,-0.568765133
-1.291912442,-0.568765133
-0.363927856,-0.568765133
0.338657482,-0.004155017
0.99484094,0.652028441
1.233538225,1.48961127
1.233538225,2.417596062
0.6291412,3.103700088
-0.027042591,3.759883879
-0.881105952,3.958793922
-1.809090067,3.958793922
-2.737074182,3.958793922
-3.665058768,3.958793922
-4.367644083,3.394183748
-5.023827541,2.73800029
-5.262524767,1.900417815
-3.860690054,3.901137777
-3.837126218,3.921253557
-3.798358906,3.943167537
-3.762547872,3.954465749
-3.721495806,3.958793922
-0.307490737,3.958793922
-0.277689051,3.956524969
-0.243813476,3.948210229
-0.213720276,3.935024949
-0.191860324,3.921253557
-0.168296488,3.901137777
1.175882079,2.556959209
1.19853202,2.529820911
1.212296242,2.506713054
1.226866382,2.468580277
1.233538225,2.391901519
1.233538225,0.972263828
1.230047879,0.935358959
1.222709719,0.907874895
1.209664295,0.878299898
1.188907903,0.847447454
1.175882079,0.83306958
-0.168296488,-0.511108988
-0.191860324,-0.531224768
-0.243813476,-0.558181441
-0.277689051,-0.56649618
-0.307490737,-0.568765133
-3.721495806,-0.568765133
-3.762547872,-0.56443696
-3.798358906,-0.553138748
-3.837126218,-0.531224768
-3.860690054,-0.511108988
-5.204868622,0.83306958
-5.226364899,0.858559683
-5.238650838,0.878299898
-5.251696262,0.907874895
-5.259034421,0.935358959
-5.262524767,0.972433698
-5.262524767,2.41776496
-5.260495047,2.445960401
-5.255852924,2.468580277
-5.246176634,2.496308016
-5.227518562,2.529820911
-5.204868622,2.556959209
