X,Y
-0.485465299,0.589468099
-0.854287661,-0.390217276
-1.223110401,-1.369902679
-1.591933039,-2.349587812
-2.503062169,-2.594984926
-3.232408047,-2.086964731
-3.601230761,-1.107279397
-3.970053475,-0.127594063
-4.25249939,0.868582457
-4.25249939,1.915400894
-4.240006425,2.960718186
-3.871184708,3.940401855
-3.502362043,4.92008706
-3.133539404,5.899772194
-2.222412524,6.145172555
-1.493064396,5.637155608
-1.124241682,4.657470274
-0.755418968,3.67778494
-0.472971831,2.681603613
-0.472971831,1.634790206
-2.898701728,6.145172555
-2.939122975,6.142179023
-2.980666744,6.130017123
-3.009825914,6.114892235
-3.039958202,6.091555341
-3.060524926,6.068897102
-3.077025322,6.043878885
-3.088781728,6.018651954
-4.243916566,2.94920053
-4.24651863,2.939862471
-4.248459717,2.931382895
-4.250281458,2.921174557
-4.251453706,2.911971025
-4.252163807,2.903197339
-4.252498552,2.892282173
-4.25249939,0.681101744
-4.251352119,0.637257891
-4.245041144,0.604807628
-4.232822035,0.570384923
-4.219066078,0.533845662
-3.071561803,-2.50292861
-3.039958202,-2.541367712
-3.009825914,-2.564704606
-2.980666744,-2.579829494
-2.939122975,-2.591991393
-2.898701728,-2.594984926
-1.797192869,-2.593594591
-1.753491218,-2.583211601
-1.714912649,-2.564240938
-1.685513019,-2.541367712
-1.653909417,-2.50292861
-1.63083832,-2.452929965
-1.617759495,-2.418189336
-0.500603827,0.549255406
-0.480430076,0.604807628
-0.474119102,0.637257891
-0.472971831,0.681101744
-0.47706684,0.618536756
-0.473068253,0.652319177
-0.475311386,0.628220634
-0.472971831,2.856190177
-0.472972668,2.892282173
-0.477011503,2.931382895
-0.485464796,2.960718186
-0.495669483,2.987825371
-0.512214362,3.031772706
-0.472971831,2.816630039
-1.636689492,6.018651954
-1.648445898,6.043878885
-1.659160413,6.06103533
-1.671810295,6.077269035
-1.685513019,6.091555341
-1.700928149,6.104659195
-1.714912649,6.114428567
-1.728939775,6.122557884
-1.753491218,6.13339923
-1.772813656,6.13929742
-1.740792695,6.128292256
-1.797192869,6.14378222
-4.25249939,2.87726813
