X,Y
2.293108734,2.100891174
1.458088536,2.111957183
0.691471826,1.792353087
-0.066963789,1.438688643
-0.825399332,1.085024232
-1.365854185,0.575992986
-1.365854185,-0.260848011
-0.922354546,-0.831646923
-0.163918951,-1.185311359
0.594516869,-1.538975899
1.352952591,-1.892640393
2.188150501,-1.903790848
2.954952265,-1.584102037
3.713387811,-1.230437624
4.471823354,-0.876773213
5.012096604,-0.367626273
5.012096604,0.469214717
4.568415362,1.039897942
3.80997982,1.393562352
3.051544277,1.747226763
1.365159201,-1.897548275
1.374291191,-1.900236291
1.391217263,-1.903196708
1.33870324,-1.88599581
1.409218054,-1.903790848
2.221020889,-1.903790848
2.250463552,-1.90356687
2.27062702,-1.900560607
2.289794547,-1.89420868
2.316490029,-1.881821958
2.335357295,-1.873024005
2.165906891,-1.903790848
4.922098653,-0.666806328
4.960643131,-0.647098426
4.978773131,-0.631821789
4.998073505,-0.605415281
5.009239634,-0.575415844
5.012096604,-0.544201912
5.012096604,-0.517447036
5.012096604,0.743309222
5.011832942,0.765648919
5.007745086,0.789525878
5.002525867,0.80433613
4.996903601,0.815710272
4.985408788,0.832540877
4.96800839,0.849798184
4.945645624,0.863975104
4.924645292,0.873785146
2.282635915,2.105559542
2.267304651,2.110215958
2.259623591,2.111386151
2.249263346,2.111928129
2.237023683,2.111957183
1.414807828,2.111957183
1.396565055,2.111921777
1.381756467,2.110732291
1.369446609,2.107715771
1.358636904,2.103425491
1.346142698,2.097631223
-1.275395064,0.875187711
-1.290044111,0.868356746
-1.302605135,0.862357193
-1.310825552,0.857614998
-1.320120499,0.851097698
-1.328077013,0.844344471
-1.334547122,0.837856583
-1.344094152,0.82607441
-1.353636518,0.81007576
-1.359809611,0.795061743
-1.36421084,0.777395333
-1.36546276,0.767369178
-1.365854185,0.752063223
-1.365854185,-0.537243007
-1.365586086,-0.557548598
-1.362212901,-0.578696388
-1.353710093,-0.601760233
-1.341491279,-0.621438416
-1.325328445,-0.638649404
-1.307832921,-0.651277634
-1.278304696,-0.665664591
