X,Y
-4.457465868,1.562930252
-3.9880745,1.125684406
-3.480706234,0.714046001
-2.973337967,0.302407596
-2.465969447,-0.109231015
-1.836719105,-0.186402022
-1.314207861,0.19174862
-0.806839595,0.603387025
-0.299471328,1.01502543
0.207896787,1.426663713
0.30631366,2.04064309
-0.163077264,2.477889144
-0.67044553,2.889527549
-1.177813797,3.301165954
-1.685182317,3.712804565
-2.314432531,3.789975931
-2.836943903,3.411825649
-3.344312169,3.000187244
-3.851680436,2.588548839
-4.359045039,2.176913406
-4.400826554,2.143015196
-4.427768963,2.119108245
-4.443786271,2.095968964
-4.45277926,2.073735048
-4.457465868,2.04064309
-4.457465868,2.013615834
-4.457465868,1.755671625
-4.455331675,1.54042844
-4.451287105,1.525078741
-4.447021149,1.514218911
-4.441058206,1.50272475
-4.434773414,1.493170399
-4.427768963,1.484465664
-4.41731091,1.474049902
-4.408097033,1.466457404
-4.400826554,1.460558714
-2.405635493,-0.158181204
-2.394989816,-0.166224181
-2.38477123,-0.172386429
-2.375895785,-0.176677814
-2.364611994,-0.180894277
-2.35249137,-0.184035203
-2.34080679,-0.185806892
-2.325740034,-0.186402022
-2.307611812,-0.186402022
-1.817868456,-0.186323037
-1.805668209,-0.185241139
-1.795787694,-0.183413871
-1.790279348,-0.182010375
-1.781974766,-0.179345777
-1.773606211,-0.17594826
-1.766380978,-0.172386429
-1.756162392,-0.166224181
-1.751077663,-0.162596946
0.26206186,1.47060896
0.266158703,1.474049902
0.276616756,1.484465664
0.283621206,1.493170399
0.289905999,1.50272475
0.295868942,1.514218911
0.300134897,1.525078741
0.304179467,1.54042844
0.30602215,1.554486727
0.30631366,1.571126299
0.305797353,2.051825648
0.304273696,2.062650867
0.301627053,2.073735048
0.298877267,2.082041229
0.295415602,2.090347843
0.289905999,2.100849159
0.283621206,2.11040351
0.276616756,2.119108245
0.270699753,2.125318522
-1.723187163,3.743638685
-1.73828288,3.755886153
-1.751077663,3.766170856
-1.766380978,3.775960338
-1.781974766,3.782919686
-1.795787694,3.786987781
-1.817868456,3.789896947
-1.836719105,3.789975931
-1.85007099,3.789975931
-2.332613726,3.789919559
-2.34080679,3.789380802
-2.35249137,3.787609113
-2.364611994,3.784468186
-2.375895785,3.780251723
-2.38477123,3.775960338
-2.394989816,3.769798091
-2.405635493,3.761755113
-2.419220967,3.750732936
