X,Y
1.135472055,-1.607246141
2.225872186,-1.206970928
3.313107696,-0.793821435
4.125272267,-0.190935836
4.125272267,0.972152105
3.331840293,1.587958796
2.244604783,2.00110829
1.155474362,2.407573192
-0.007564694,2.40850189
-1.170652642,2.40850189
-2.333740588,2.40850189
-3.424141085,2.008228753
-4.511376594,1.59507926
-5.32354663,0.99219743
-5.32354663,-0.170890511
-4.53012012,-0.786700971
-3.44288461,-1.199850465
-2.353762183,-1.606316131
-1.190703825,-1.607246141
-0.027615885,-1.607246141
-5.323520613,1.286464533
-2.402185409,2.396554246
-2.383369001,2.402377799
-2.357744274,2.407142482
-2.335868174,2.40849812
-2.313795433,2.40850189
1.090271834,2.40850189
1.124090164,2.40850189
1.160882205,2.406970463
1.193248649,2.400107119
1.225494686,2.388370127
4.12524625,1.286464533
4.125272267,-0.484917214
4.125272267,-0.484917214
1.201867446,-1.596032172
1.185211677,-1.601092116
1.173822851,-1.603651467
1.160882205,-1.605714714
1.147958171,-1.606905084
-2.313795433,-1.607246141
1.135472055,-1.607246141
-2.335868174,-1.607242371
-2.357744274,-1.605886733
-2.383369001,-1.601122051
-2.402185409,-1.595298497
-5.32354663,-0.484917214
